LOC,CyclomaticComplexity,ParameterCount,NR,NAuth,stmtAdded,stmtDeleted,maxChurn,avgChurn,IsBuggy
0.109112,0,0.196721,0,0,0,0,0,0,yes
0.218224,0.161286,0.393442,0,0,0,0,0,0,yes
0.109112,0.161286,0.983604,0,0,0,0,0,0,yes
0.043645,0,0,0,0,0,0,0,0,no
0.087289,0.161286,0,0,0,0,0,0,0,no
0.37098,0.161286,0.196721,0,0,0,0,0,0,yes
0.043645,0,0.196721,0,0,0,0,0,0,no
0.196401,0.483858,0.196721,0,0,0,0,0,0,yes
0.043645,0,0.196721,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.240046,0.645144,0.196721,0,0,0,0,0,0,yes
0.043645,0,0,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.109112,0,0.393442,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.501914,0.645144,0.196721,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.283691,0.322572,0.196721,0,0,0,0,0,0,no
1,1,0.393442,0,0,0,0,0,0,no
0.480092,0.161286,0.393442,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.501914,0.483858,0,0,0,0,0,0,0,no
0.261868,0.161286,0,0,0,0,0,0,0,no
0.152756,0.161286,0.196721,0,0,0,0,0,0,no
0.763782,0.80643,0,0,0,0,0,0,0,no
0.349158,0.161286,0.196721,0,0,0,0,0,0,no
0.283691,0.161286,0.393442,0,0,0,0,0,0,no
0.458269,0.645144,0.196721,0,0,0,0,0,0,yes
0.043645,0,0,0,0,0,0,0,0,no
0.087289,0.161286,0,0,0,0,0,0,0,no
0.283691,0.161286,0.393442,0,0,0,0,0,0,no
0.894717,0.967716,0.590162,0,0,0,0,0,0,no
0.436447,0.322572,0.196721,0,0,0,0,0,0,no
0.174579,0.161286,0.196721,0,0,0,0,0,0,no
0.130934,0,0,0,0,0,0,0,0,no
1,1,0,0,0,0,0,0,0,no
0.240046,0.161286,0,0,0,0,0,0,0,no
0.261868,0.161286,0.196721,0,0,0,0,0,0,no
0.305513,0.161286,0.196721,0,0,0,0,0,0,no
0.392802,0.483858,0,0,0,0,0,0,0,no
0.130934,0.161286,0,0,0,0,0,0,0,yes
0.043645,0,0.393442,0,0,0,0,0,0,no
0.261868,0.322572,0.393442,0,0,0,0,0,0,yes
0.109112,0.161286,0,0,0,0,0,0,0,yes
0.392802,0.483858,0.393442,0,0,0,0,0,0,yes
0.043645,0,0,0,0,0,0,0,0,no
0.196401,0.322572,0,0,0,0,0,0,0,yes
0.043645,0,0,0,0,0,0,0,0,no
0.37098,0.161286,0.393442,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,no
0.152756,0.161286,0.393442,0,0,0,0,0,0,no
0.130934,0.161286,0.590162,0,0,0,0,0,0,no
